,job_title,job_company,job_details,location,experience,salary,min_salary,max_salary,min_experience
156,data scientist,Berrybenka.com,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
157,business intelligence analyst,Mapan - PT Ruma (Rekan Usaha Mikro Anda),"['Blok M, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
158,cfo analyst,Edenfarm,"['Kembangan, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
159,business analyst,Cyberquote Indonesia,"['Surabaya', '3 – 5 tahun']",Surabaya,3 – 5 tahun,[],0,0,3
160,business development - market analyst (internship),Kili Kili Adventure,"['Jakarta', 'IDR\xa02.000.000 - 10.000.000', 'Kurang dari setahun']",Jakarta,Kurang dari setahun,"['IDR', '2.000.000', '-', '10.000.000']",2000000,10000000,0
161,data engineer,PT. Cudo Communications,"['Tangerang', 'IDR\xa08.000.000 - 10.000.000', '1 – 3 tahun']",Tangerang,1 – 3 tahun,"['IDR', '8.000.000', '-', '10.000.000']",8000000,10000000,1
162,data engineer,PT Metranet,"['Jakarta', 'IDR\xa05.000.000 - 10.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '10.000.000']",5000000,10000000,1
163,data engineer,Port Cities,"['Semarang', 'IDR\xa02.900.000 - 3.300.000', '1 – 3 tahun']",Semarang,1 – 3 tahun,"['IDR', '2.900.000', '-', '3.300.000']",2900000,3300000,1
164,business development analyst,PT Gamatechno Indonesia,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
165,data scientist,Aiforesee,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
166,data manager,Ajaib,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
167,business analyst,Digital Envision,"['Semarang', 'IDR\xa03.000.000 - 5.000.000', '1 – 3 tahun']",Semarang,1 – 3 tahun,"['IDR', '3.000.000', '-', '5.000.000']",3000000,5000000,1
168,data scientist,Xylo,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
169,business analyst,Pt. Empore Hezer Tama,"['Jakarta', '3 – 5 tahun']",Jakarta,3 – 5 tahun,[],0,0,3
170,data scientist,Codex Powered by Telkom Indonesia,"['Jakarta', '5 – 10 tahun']",Jakarta,5 – 10 tahun,[],0,0,5
171,system analyst ,PT. Folarium Innotek Indonesia,"['Tebet, Jakarta', 'IDR\xa06.000.000 - 8.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '6.000.000', '-', '8.000.000']",6000000,8000000,1
172,data scientist,Nalagenetics,"['Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
173,data scientist,Hukumonline.com,"['TB Simatupang, Jakarta', '1 – 3 tahun']",Jakarta,1 – 3 tahun,[],0,0,1
174,acquisition analyst internship,Furee,"['Setiabudi, Jakarta', 'IDR\xa01.000.000 - 1.200.000', '']",Jakarta,,"['IDR', '1.000.000', '-', '1.200.000']",1000000,1200000,0
175,business analyst,Bisnis Integrasi Global,"['Kuningan, Jakarta', 'IDR\xa05.000.000 - 8.000.000', '1 – 3 tahun']",Jakarta,1 – 3 tahun,"['IDR', '5.000.000', '-', '8.000.000']",5000000,8000000,1
